id,name,category,description
canonical_001,Office Chair Standard,Furniture,Standard ergonomic office chair with adjustable height
canonical_002,Wireless Mouse,Electronics,Optical wireless mouse with USB receiver
canonical_003,A4 Paper Ream,Office Supplies,500 sheets of standard A4 copy paper
canonical_004,Ethernet Cable 5ft,Electronics,Cat6 ethernet cable 5 feet length
canonical_005,Desk Lamp LED,Electronics,LED desk lamp with adjustable arm
canonical_006,File Cabinet 4-Drawer,Furniture,Metal file cabinet with 4 drawers and lock
canonical_007,Printer Toner Black,Office Supplies,Black toner cartridge for laser printers
canonical_008,Standing Desk,Furniture,Height adjustable standing desk converter
canonical_009,USB Flash Drive 32GB,Electronics,32GB USB 3.0 flash drive
canonical_010,Notebook Spiral,Office Supplies,College ruled spiral bound notebook